model,context_target,context_length,nominal_budget,effective_budget,effective_tokens,iso_condition,quant_bits,quant_byte_cost,physical_byte_cost,arm,arm_label,protection,eviction,promotion,promotion_id,full_fraction,recency_window,sink,seed,accuracy,k,n_turns,n_full,n_quant,bytes,n_protected_lines,oracle_oversubscribed,dormancy_events,dormancy_max_run,quant_calls,quant_violations,quant_max_levels
Qwen/Qwen2.5-1.5B-Instruct,2048,2030,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,10,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2049,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,11,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2030,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,12,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2049,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,13,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2049,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,14,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2031,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,15,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2046,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,16,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,17,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2043,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,18,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2044,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,19,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2064,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,20,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,21,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2052,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,22,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2046,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,23,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2049,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,24,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2054,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,25,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2046,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,26,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2058,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,27,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2051,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,28,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2049,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,29,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2060,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,30,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2043,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,31,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2056,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,32,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2039,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,33,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2042,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,34,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,35,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2055,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,36,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2042,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,37,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2047,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,38,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2066,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,39,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2038,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,40,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2058,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,41,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2061,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,42,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2046,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,43,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,44,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2038,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,45,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2044,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,46,0.0,0,6,293,0,293.0,0,False,3,1,0,0,0
